Running combo: IV=0.15, EndBuffer=1, Capital=100000.0
Running combo: IV=0.15, EndBuffer=1, Capital=100000.0
Running combo: IV=0.15, EndBuffer=1, Capital=100000.0
Running combo: IV=0.15, EndBuffer=1, Capital=100000.0
Running combo: IV=0.15, EndBuffer=5, Capital=100000.0
Running combo: IV=0.15, EndBuffer=5, Capital=100000.0
Running combo: IV=0.15, EndBuffer=5, Capital=100000.0
Running combo: IV=0.15, EndBuffer=5, Capital=100000.0
Running combo: IV=0.15, EndBuffer=10, Capital=100000.0
Running combo: IV=0.15, EndBuffer=10, Capital=100000.0
Running combo: IV=0.15, EndBuffer=10, Capital=100000.0
Running combo: IV=0.15, EndBuffer=10, Capital=100000.0
Running combo: IV=0.15, EndBuffer=15, Capital=100000.0
Running combo: IV=0.15, EndBuffer=15, Capital=100000.0
Running combo: IV=0.15, EndBuffer=15, Capital=100000.0
Running combo: IV=0.15, EndBuffer=15, Capital=100000.0
Running combo: IV=0.15, EndBuffer=20, Capital=100000.0
Running combo: IV=0.15, EndBuffer=20, Capital=100000.0
Running combo: IV=0.15, EndBuffer=20, Capital=100000.0
Running combo: IV=0.15, EndBuffer=20, Capital=100000.0
Running combo: IV=0.18, EndBuffer=1, Capital=100000.0
Running combo: IV=0.18, EndBuffer=1, Capital=100000.0
Running combo: IV=0.18, EndBuffer=1, Capital=100000.0
Running combo: IV=0.18, EndBuffer=1, Capital=100000.0
Running combo: IV=0.18, EndBuffer=5, Capital=100000.0
Running combo: IV=0.18, EndBuffer=5, Capital=100000.0
Running combo: IV=0.18, EndBuffer=5, Capital=100000.0
Running combo: IV=0.18, EndBuffer=5, Capital=100000.0
Running combo: IV=0.18, EndBuffer=10, Capital=100000.0
Running combo: IV=0.18, EndBuffer=10, Capital=100000.0
Running combo: IV=0.18, EndBuffer=10, Capital=100000.0
Running combo: IV=0.18, EndBuffer=10, Capital=100000.0
Running combo: IV=0.18, EndBuffer=15, Capital=100000.0
Running combo: IV=0.18, EndBuffer=15, Capital=100000.0
Running combo: IV=0.18, EndBuffer=15, Capital=100000.0
Running combo: IV=0.18, EndBuffer=15, Capital=100000.0
Running combo: IV=0.18, EndBuffer=20, Capital=100000.0
Running combo: IV=0.18, EndBuffer=20, Capital=100000.0
Running combo: IV=0.18, EndBuffer=20, Capital=100000.0
Running combo: IV=0.18, EndBuffer=20, Capital=100000.0
Running combo: IV=0.2, EndBuffer=1, Capital=100000.0
Running combo: IV=0.2, EndBuffer=1, Capital=100000.0
Running combo: IV=0.2, EndBuffer=1, Capital=100000.0
Running combo: IV=0.2, EndBuffer=1, Capital=100000.0
Running combo: IV=0.2, EndBuffer=5, Capital=100000.0
Running combo: IV=0.2, EndBuffer=5, Capital=100000.0
Running combo: IV=0.2, EndBuffer=5, Capital=100000.0
Running combo: IV=0.2, EndBuffer=5, Capital=100000.0
Running combo: IV=0.2, EndBuffer=10, Capital=100000.0
Running combo: IV=0.2, EndBuffer=10, Capital=100000.0
Running combo: IV=0.2, EndBuffer=10, Capital=100000.0
Running combo: IV=0.2, EndBuffer=10, Capital=100000.0
Running combo: IV=0.2, EndBuffer=15, Capital=100000.0
Running combo: IV=0.2, EndBuffer=15, Capital=100000.0
Running combo: IV=0.2, EndBuffer=15, Capital=100000.0
Running combo: IV=0.2, EndBuffer=15, Capital=100000.0
Running combo: IV=0.2, EndBuffer=20, Capital=100000.0
Running combo: IV=0.2, EndBuffer=20, Capital=100000.0
Running combo: IV=0.2, EndBuffer=20, Capital=100000.0
Running combo: IV=0.2, EndBuffer=20, Capital=100000.0
Running combo: IV=0.22, EndBuffer=1, Capital=100000.0
Running combo: IV=0.22, EndBuffer=1, Capital=100000.0
Running combo: IV=0.22, EndBuffer=1, Capital=100000.0
Running combo: IV=0.22, EndBuffer=1, Capital=100000.0
Running combo: IV=0.22, EndBuffer=5, Capital=100000.0
Running combo: IV=0.22, EndBuffer=5, Capital=100000.0
Running combo: IV=0.22, EndBuffer=5, Capital=100000.0
Running combo: IV=0.22, EndBuffer=5, Capital=100000.0
Running combo: IV=0.22, EndBuffer=10, Capital=100000.0
Running combo: IV=0.22, EndBuffer=10, Capital=100000.0
Running combo: IV=0.22, EndBuffer=10, Capital=100000.0
Running combo: IV=0.22, EndBuffer=10, Capital=100000.0
Running combo: IV=0.22, EndBuffer=15, Capital=100000.0
Running combo: IV=0.22, EndBuffer=15, Capital=100000.0
Running combo: IV=0.22, EndBuffer=15, Capital=100000.0
Running combo: IV=0.22, EndBuffer=15, Capital=100000.0
Running combo: IV=0.22, EndBuffer=20, Capital=100000.0
Running combo: IV=0.22, EndBuffer=20, Capital=100000.0
Running combo: IV=0.22, EndBuffer=20, Capital=100000.0
Running combo: IV=0.22, EndBuffer=20, Capital=100000.0
Optimization complete. Summary written to optimize_results/summary.csv
