iv_threshold,end_buffer,initial_capital,enable_ml,enable_scanning,net_pl
0.15,1,100000.0,False,False,-5514.0
0.15,1,100000.0,False,True,-1204.0
0.15,1,100000.0,True,False,-1204.0
0.15,1,100000.0,True,True,-1204.0
0.15,5,100000.0,False,False,-36.0
0.15,5,100000.0,False,True,5679.0
0.15,5,100000.0,True,False,5679.0
0.15,5,100000.0,True,True,5679.0
0.15,10,100000.0,False,False,-3704.0
0.15,10,100000.0,False,True,-868.9999999999999
0.15,10,100000.0,True,False,-868.9999999999999
0.15,10,100000.0,True,True,-868.9999999999999
0.15,15,100000.0,False,False,4911.0
0.15,15,100000.0,False,True,-3584.0
0.15,15,100000.0,True,False,-3584.0
0.15,15,100000.0,True,True,-3584.0
0.15,20,100000.0,False,False,61.0
0.15,20,100000.0,False,True,-957.9999999999999
0.15,20,100000.0,True,False,-957.9999999999999
0.15,20,100000.0,True,True,-957.9999999999999
0.18,1,100000.0,False,False,492.0
0.18,1,100000.0,False,True,8270.0
0.18,1,100000.0,True,False,8270.0
0.18,1,100000.0,True,True,8270.0
0.18,5,100000.0,False,False,-4049.0
0.18,5,100000.0,False,True,1204.0
0.18,5,100000.0,True,False,1204.0
0.18,5,100000.0,True,True,1204.0
0.18,10,100000.0,False,False,-7021.0
0.18,10,100000.0,False,True,-4072.0
0.18,10,100000.0,True,False,-4072.0
0.18,10,100000.0,True,True,-4072.0
0.18,15,100000.0,False,False,-387.0
0.18,15,100000.0,False,True,-5874.0
0.18,15,100000.0,True,False,-5874.0
0.18,15,100000.0,True,True,-5874.0
0.18,20,100000.0,False,False,-3362.0
0.18,20,100000.0,False,True,8143.0
0.18,20,100000.0,True,False,8143.0
0.18,20,100000.0,True,True,8143.0
0.2,1,100000.0,False,False,-4516.0
0.2,1,100000.0,False,True,6496.999999999999
0.2,1,100000.0,True,False,6496.999999999999
0.2,1,100000.0,True,True,6496.999999999999
0.2,5,100000.0,False,False,-6829.0
0.2,5,100000.0,False,True,2544.0
0.2,5,100000.0,True,False,2544.0
0.2,5,100000.0,True,True,2544.0
0.2,10,100000.0,False,False,42.0
0.2,10,100000.0,False,True,-1248.0
0.2,10,100000.0,True,False,-1248.0
0.2,10,100000.0,True,True,-1248.0
0.2,15,100000.0,False,False,-2209.0
0.2,15,100000.0,False,True,-2385.0
0.2,15,100000.0,True,False,-2385.0
0.2,15,100000.0,True,True,-2385.0
0.2,20,100000.0,False,False,-3388.0
0.2,20,100000.0,False,True,3041.0
0.2,20,100000.0,True,False,3041.0
0.2,20,100000.0,True,True,3041.0
0.22,1,100000.0,False,False,-1498.0
0.22,1,100000.0,False,True,2058.0
0.22,1,100000.0,True,False,2058.0
0.22,1,100000.0,True,True,2058.0
0.22,5,100000.0,False,False,-4049.0
0.22,5,100000.0,False,True,-2938.0
0.22,5,100000.0,True,False,-2938.0
0.22,5,100000.0,True,True,-2938.0
0.22,10,100000.0,False,False,-1429.0000000000002
0.22,10,100000.0,False,True,-648.0
0.22,10,100000.0,True,False,-648.0
0.22,10,100000.0,True,True,-648.0
0.22,15,100000.0,False,False,-75.00000000000023
0.22,15,100000.0,False,True,-2901.0
0.22,15,100000.0,True,False,-2901.0
0.22,15,100000.0,True,True,-2901.0
0.22,20,100000.0,False,False,-3876.0
0.22,20,100000.0,False,True,3041.0
0.22,20,100000.0,True,False,3041.0
0.22,20,100000.0,True,True,3041.0
