iv_threshold,end_buffer,initial_capital,enable_ml,net_pl
0.15,1,100000.0,False,11147.0
0.15,1,100000.0,True,11147.0
0.15,5,100000.0,False,11176.0
0.15,5,100000.0,True,11176.0
0.15,10,100000.0,False,9558.0
0.15,10,100000.0,True,9558.0
0.15,15,100000.0,False,11242.0
0.15,15,100000.0,True,11242.0
0.15,20,100000.0,False,11512.0
0.15,20,100000.0,True,11512.0
0.18,1,100000.0,False,11120.000000000002
0.18,1,100000.0,True,11120.000000000002
0.18,5,100000.0,False,8162.0
0.18,5,100000.0,True,8162.0
0.18,10,100000.0,False,9921.0
0.18,10,100000.0,True,9921.0
0.18,15,100000.0,False,9180.0
0.18,15,100000.0,True,9180.0
0.18,20,100000.0,False,7232.0
0.18,20,100000.0,True,7232.0
0.2,1,100000.0,False,15019.0
0.2,1,100000.0,True,15019.0
0.2,5,100000.0,False,8214.0
0.2,5,100000.0,True,8214.0
0.2,10,100000.0,False,454.99999999999955
0.2,10,100000.0,True,454.99999999999955
0.2,15,100000.0,False,3399.0000000000005
0.2,15,100000.0,True,3399.0000000000005
0.2,20,100000.0,False,5587.0
0.2,20,100000.0,True,5587.0
0.22,1,100000.0,False,8109.000000000001
0.22,1,100000.0,True,8109.000000000001
0.22,5,100000.0,False,-905.9999999999995
0.22,5,100000.0,True,-905.9999999999995
0.22,10,100000.0,False,14947.0
0.22,10,100000.0,True,14947.0
0.22,15,100000.0,False,11536.0
0.22,15,100000.0,True,11536.0
0.22,20,100000.0,False,10505.0
0.22,20,100000.0,True,10505.0
